"","zcta","zipp","City","County","Operational.Costs","Admin.Costs","Food.Costs","SFSP.Kitchens","Meals.Served","Media","Activity","Site.Density","Benefits","Poverty","Grocery","Convenience.Store","Public.Transport","Total.Meals","Total.ADP","Findings","Year.Round"
"2",75001,75001,"Addison","Dallas","High","High","Med","No","Lunch Plus","Low","High","Low","No","High","Yes","High","No",NA,0,1,1
"5",75006,75006,"Carrollton","Dallas","High","High","Med","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No","Low",0,NA,2
"6",75007,75007,"Carrollton","Denton","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No",NA,0,NA,2
"12",75020,75020,"Denison","Grayson","Med","Med","High","Yes","Lunch Plus","High","High","Low","No","Med","Yes","High","No","High",0,1,1
"23",75038,75038,"Irving","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No","Low",0,NA,3
"27",75040,75040,"Garland","Dallas","High","High","Low","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No",NA,62.5,9,2
"30",75041,75041,"Garland","Dallas","Med","Med","Low","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No",NA,0,NA,1
"31",75042,75042,"Garland","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,NA
"33",75043,75043,"Garland","Dallas","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,2
"37",75050,75050,"Grand Prairie","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","No","High","No",NA,98.5958974358974,NA,8
"38",75051,75051,"Grand Prairie","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",66.9136988119732,NA,11
"40",75052,75052,"Grand Prairie","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",74.8058310319899,11,2
"44",75057,75057,"Lewisville","Denton","High","High","Med","No","Lunch Plus","Low","None","Low","No","Med","No","High","No","Low",0,NA,1
"47",75060,75060,"Irving","Dallas","High","High","Med","Yes","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",30.7777777777778,NA,10
"49",75061,75061,"Irving","Dallas","High","High","Med","Yes","Lunch Plus","High","High","High","No","Med","No","High","No",NA,23.9324786324786,NA,11
"50",75062,75062,"Irving","Dallas","High","High","Med","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No","Low",54.4533724340176,NA,10
"56",75067,75067,"Lewisville","Denton","High","High","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,3
"58",75069,75069,"Mckinney","Collin","Med","Med","Med","No","Lunch Plus","Low","None","High","No","Med","Yes","High","No","Low",0,NA,5
"61",75074,75074,"Plano","Collin","Med","Med","Med","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No","Low",0,NA,2
"71",75081,75081,"Richardson","Dallas","Med","Med","Low","No","Lunch Plus","Low","None","Low","No","Med","Yes","High","No",NA,0,NA,3
"78",75090,75090,"Sherman","Grayson","High","Med","Med","No","Lunch Plus","High","None","Low","Yes","Med","Yes","High","No","Low",0,NA,NA
"79",75092,75092,"Sherman","Grayson","High","Med","Med","No","No Meals","Low","None","None","No","Med","Yes","High","No","Low",0,NA,NA
"87",75104,75104,"Cedar Hill","Dallas","High","High","Med","Yes","Lunch Plus","High","High","High","No","Med","Yes","High","No",NA,44.2984848484849,5,3
"90",75110,75110,"Corsicana","Navarro","Med","Med","Med","Yes","Lunch Plus","High","None","High","No","Med","Yes","High","No",NA,0,NA,1
"92",75114,75114,"Crandall","Kaufman","Med","Med","Med","No","No Meals","Low","None","None","No","Low","No","Low","No","Low",0,NA,NA
